Default schedule
Rate	55.56
CV	22.22
Rev Jump	11.11
Prior Change	11.11
Rate Tried	% Accepted	CV Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
552	0.266304	232	0.362069	90	0.088889	126	0.968254	3.830024	784	0.294643	0.361000	0.366664	
273	0.216117	121	0.322314	41	0.024390	65	0.984615	3.830024	394	0.248731	0.326000	0.366589	
564	0.212766	233	0.381974	98	0.122449	105	0.923810	3.830024	797	0.262233	0.318000	0.366443	
256	0.230469	122	0.368852	57	0.175439	65	1.000000	3.830024	378	0.275132	0.358000	0.366299	
602	0.297342	211	0.308057	85	0.141176	102	0.960784	3.830024	813	0.300123	0.354000	0.366238	
288	0.229167	108	0.351852	41	0.195122	63	1.000000	3.830024	396	0.262626	0.350000	0.366085	
573	0.246073	211	0.327014	103	0.116505	113	0.840708	3.830024	784	0.267857	0.317000	0.365900	
272	0.136029	132	0.439394	42	0.119048	54	0.944444	3.830024	404	0.235149	0.302000	0.365807	
581	0.182444	202	0.381188	94	0.074468	123	0.951220	3.830024	783	0.233716	0.307000	0.365424	
286	0.167832	117	0.282051	39	0.179487	58	0.982759	3.830024	403	0.200993	0.290000	0.365095	
578	0.323529	224	0.517857	75	0.213333	123	0.975610	2.329704	802	0.377805	0.439000	0.365193	
252	0.226190	117	0.290598	57	0.105263	74	1.000000	4.417627	369	0.246612	0.342000	0.365372	
563	0.204263	209	0.287081	78	0.128205	150	1.000000	4.417627	772	0.226684	0.335000	0.365227	
289	0.238754	99	0.303030	50	0.140000	62	0.983871	4.417627	388	0.255155	0.334000	0.365000	
576	0.237847	239	0.263598	56	0.089286	129	0.992248	4.417627	815	0.245399	0.333000	0.364905	
292	0.239726	116	0.362069	33	0.060606	59	1.000000	4.417627	408	0.274510	0.346000	0.364782	
528	0.231061	236	0.334746	91	0.120879	145	0.979310	4.417627	764	0.263089	0.354000	0.364655	
291	0.237113	119	0.344538	33	0.030303	57	0.947368	4.417627	410	0.268293	0.330000	0.364501	
529	0.198488	224	0.357143	100	0.130000	147	0.972789	4.417627	753	0.245684	0.341000	0.364279	
286	0.230769	121	0.363636	36	0.166667	57	0.982456	4.417627	407	0.270270	0.344000	0.364133	
513	0.208577	251	0.338645	103	0.223301	133	0.977444	4.417627	764	0.251309	0.345000	0.363955	
267	0.224719	116	0.301724	48	0.145833	69	1.000000	4.417627	383	0.248042	0.342000	0.363777	
571	0.192644	210	0.342857	101	0.108911	118	0.838983	4.417627	781	0.233035	0.292000	0.363506	
315	0.285714	92	0.239130	28	0.000000	65	0.969231	4.417627	407	0.275184	0.350000	0.363335	
578	0.224913	225	0.231111	67	0.223881	130	0.938462	4.417627	803	0.226650	0.319000	0.363238	
278	0.125899	107	0.401869	57	0.157895	58	0.896552	4.417627	385	0.202597	0.278000	0.363055	
562	0.209964	236	0.364407	95	0.126316	107	0.962617	4.417627	798	0.255639	0.319000	0.362807	
285	0.242105	121	0.272727	33	0.212121	61	0.950820	4.417627	406	0.251232	0.334000	0.362821	
553	0.182640	244	0.344262	84	0.130952	119	0.848739	4.417627	797	0.232120	0.297000	0.362621	
277	0.245487	102	0.343137	47	0.085106	74	1.000000	4.417627	379	0.271768	0.362000	0.362419	
577	0.225303	238	0.302521	66	0.272727	119	0.882353	4.417627	815	0.247853	0.325000	0.362251	
293	0.215017	104	0.375000	34	0.147059	69	0.956522	4.417627	397	0.256927	0.346000	0.362027	
588	0.229592	205	0.312195	71	0.140845	136	0.955882	4.417627	793	0.250946	0.339000	0.361903	
275	0.200000	112	0.348214	50	0.080000	63	0.952381	4.417627	387	0.242894	0.316000	0.361703	
576	0.215278	223	0.300448	80	0.225000	121	0.966942	4.417627	799	0.239049	0.326000	0.361572	
271	0.191882	105	0.400000	57	0.140351	67	0.970149	4.417627	376	0.250000	0.334000	0.361336	
561	0.235294	217	0.373272	100	0.130000	122	0.959016	4.417627	778	0.273779	0.343000	0.361211	
250	0.268000	131	0.312977	57	0.263158	62	1.000000	4.417627	381	0.283465	0.370000	0.361138	
569	0.223199	210	0.266667	89	0.168539	132	0.977273	4.417627	779	0.234917	0.327000	0.360902	
297	0.215488	114	0.333333	29	0.034483	60	1.000000	4.417627	411	0.248175	0.326000	0.360775	
569	0.124780	223	0.340807	93	0.215054	115	0.947826	4.417627	792	0.185606	0.276000	0.360611	
274	0.255474	111	0.405405	49	0.183673	66	0.954545	3.647359	385	0.298701	0.374000	0.360412	
562	0.302491	241	0.319502	76	0.118421	121	0.991736	3.647359	803	0.307597	0.376000	0.360424	
284	0.137324	110	0.454545	45	0.222222	61	0.983607	3.647359	394	0.225888	0.318000	0.360481	
532	0.165414	228	0.346491	84	0.190476	156	0.974359	3.647359	760	0.219737	0.335000	0.360403	
291	0.254296	96	0.333333	34	0.147059	79	0.987342	3.647359	387	0.273902	0.378000	0.360318	
549	0.264117	240	0.337500	94	0.148936	117	1.000000	3.647359	789	0.286439	0.357000	0.360304	
271	0.265683	110	0.372727	59	0.135593	60	0.983333	3.647359	381	0.296588	0.360000	0.360388	
577	0.270364	230	0.339130	69	0.115942	124	0.983871	3.647359	807	0.289963	0.364000	0.360468	
235	0.148936	143	0.356643	48	0.166667	74	0.905405	3.647359	378	0.227513	0.322000	0.360360	
559	0.169946	228	0.429825	81	0.148148	132	0.984848	3.647359	787	0.245235	0.335000	0.360160	
290	0.251724	111	0.378378	39	0.076923	60	1.000000	3.647359	401	0.286783	0.356000	0.360134	
576	0.223958	209	0.330144	108	0.101852	107	0.981308	3.647359	785	0.252229	0.314000	0.360024	
287	0.268293	124	0.395161	30	0.266667	59	1.000000	3.647359	411	0.306569	0.386000	0.360149	
564	0.219858	228	0.346491	72	0.152778	136	1.000000	3.647359	792	0.256313	0.350000	0.360205	
321	0.299065	102	0.411765	24	0.125000	53	1.000000	3.647359	423	0.326241	0.388000	0.360237	
566	0.259717	244	0.381148	75	0.160000	115	1.000000	3.647359	810	0.296296	0.367000	0.360306	
283	0.247350	113	0.415929	45	0.022222	59	1.000000	3.647359	396	0.295455	0.354000	0.360235	
560	0.314286	237	0.362869	83	0.072289	120	1.000000	3.647359	797	0.328733	0.388000	0.360419	
283	0.240283	121	0.396694	41	0.000000	55	1.000000	3.647359	404	0.287129	0.342000	0.360328	
540	0.262963	243	0.374486	89	0.089888	128	0.992188	3.647359	783	0.297573	0.368000	0.360384	
287	0.250871	116	0.241379	31	0.161290	66	0.984848	3.647359	403	0.248139	0.340000	0.360542	
539	0.274583	239	0.338912	87	0.172414	135	1.000000	3.647359	778	0.294344	0.379000	0.360483	
256	0.238281	126	0.277778	41	0.024390	77	1.000000	3.647359	382	0.251309	0.348000	0.360529	
558	0.252688	241	0.365145	83	0.084337	118	1.000000	3.647359	799	0.286608	0.354000	0.360511	
310	0.370968	97	0.360825	43	0.116279	50	1.000000	3.647359	407	0.368550	0.410000	0.360580	
562	0.290036	206	0.436893	101	0.089109	131	0.984733	3.647359	768	0.329427	0.391000	0.360725	
296	0.253378	107	0.289720	43	0.093023	54	1.000000	3.647359	403	0.263027	0.328000	0.360729	
544	0.261029	227	0.414097	92	0.141304	137	1.000000	3.647359	771	0.306096	0.386000	0.360843	
275	0.229091	121	0.355372	37	0.243243	67	0.985075	3.647359	396	0.267677	0.362000	0.360879	
534	0.290262	225	0.440000	78	0.102564	163	1.000000	3.647359	759	0.334651	0.425000	0.361107	
284	0.260563	116	0.241379	35	0.171429	65	1.000000	3.647359	400	0.255000	0.346000	0.361125	
